location_id,location_number,location_name,location_address,governorate,district,page_number,total_voters,raw_text_sample
1,67,التجارة,مركز مطوبس - صفحة 1,كفر الشيخ,مطوبس,1,150,"انتخابات مجلس النواب ٥٢٠٢ نموذج رقم(           ) ٧
كشف بأسماء الناخبين باللجنة الفرعية رقم  
كفر الشيخمحافظة : مركز مطوبسمدرسة مطوبس الثانوية بنين
شارع المستشفى امام مدرسة التجارة٦٧
 التابعة للجنة الع"
2,77,الشهيد نعمان الشندويلى البتدائية,مركز مطوبس - صفحة 33,كفر الشيخ,مطوبس,33,150,"انتخابات مجلس النواب ٥٢٠٢ نموذج رقم(           ) ٧
كشف بأسماء الناخبين باللجنة الفرعية رقم  
كفر الشيخمحافظة : مركز مطوبسمدرسة الشهيد نعمان الشندويلى البتدائية
 بندر مطوبس_ شارع المستشفى بجوار المستشف"
